Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.5-50301-53-17,131.202.240.150,50301,131.202.244.5,53,31/03/2015 02:57:41 p.m.,2,250.0,0
131.202.240.150-131.202.6.3-50301-53-17,131.202.240.150,50301,131.202.6.3,53,31/03/2015 02:57:41 p.m.,2,410.0,0
131.202.240.150-216.58.219.227-58412-443-6,131.202.240.150,58412,216.58.219.227,443,31/03/2015 02:58:31 p.m.,2,0.0,0
203.195.225.12-131.202.240.150-0-0-0,203.195.225.12,0,131.202.240.150,0,31/03/2015 02:57:41 p.m.,4,0.0,0
131.202.240.150-131.202.244.3-50301-53-17,131.202.240.150,50301,131.202.244.3,53,31/03/2015 02:57:41 p.m.,2,410.0,0
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,31/03/2015 03:00:16 p.m.,4,805.0,0
182.254.219.114-131.202.240.150-0-0-0,182.254.219.114,0,131.202.240.150,0,31/03/2015 03:00:03 p.m.,2,0.0,0
131.202.240.150-216.58.219.238-51630-443-6,131.202.240.150,51630,216.58.219.238,443,31/03/2015 03:01:41 p.m.,2,0.0,0
213.74.216.98-131.202.240.150-0-0-0,213.74.216.98,0,131.202.240.150,0,31/03/2015 02:57:24 p.m.,4,0.0,0
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,31/03/2015 03:03:32 p.m.,41,520.0,0
131.202.240.86-131.202.240.150-49624-40273-17,131.202.240.86,49624,131.202.240.150,40273,31/03/2015 03:03:16 p.m.,11263,7839155.0,0
131.202.240.150-134.170.19.108-33309-443-6,131.202.240.150,33309,134.170.19.108,443,31/03/2015 03:01:25 p.m.,28,10400.0,0
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,31/03/2015 03:03:21 p.m.,6,822.0,0
119.81.4.50-131.202.240.150-0-0-0,119.81.4.50,0,131.202.240.150,0,31/03/2015 03:00:00 p.m.,4,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,31/03/2015 03:02:13 p.m.,10,0.0,0
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,31/03/2015 03:02:08 p.m.,6,0.0,0
131.202.240.150-216.58.219.238-37450-443-17,131.202.240.150,37450,216.58.219.238,443,31/03/2015 02:57:41 p.m.,7,4855.0,0
131.202.240.150-157.56.53.45-48676-12350-6,131.202.240.150,48676,157.56.53.45,12350,31/03/2015 03:01:21 p.m.,3,10.0,0
131.202.240.150-216.58.219.227-58412-443-6,131.202.240.150,58412,216.58.219.227,443,31/03/2015 02:57:31 p.m.,7,63.0,0
131.202.240.86-131.202.240.150-49624-40273-17,131.202.240.86,49624,131.202.240.150,40273,31/03/2015 02:57:15 p.m.,5226,2940350.0,0
131.202.240.150-134.170.19.108-33309-443-6,131.202.240.150,33309,134.170.19.108,443,31/03/2015 02:57:18 p.m.,48,17042.0,0
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,31/03/2015 02:57:21 p.m.,9,1641.0,0
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,31/03/2015 02:57:18 p.m.,196,3787.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,31/03/2015 02:57:20 p.m.,16,0.0,0
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,31/03/2015 02:57:37 p.m.,6,0.0,0
131.202.240.150-216.58.219.238-51630-443-6,131.202.240.150,51630,216.58.219.238,443,31/03/2015 02:57:41 p.m.,22,1176.0,0
131.202.240.86-131.202.240.150-49624-40273-17,131.202.240.86,49624,131.202.240.150,40273,31/03/2015 02:59:16 p.m.,1206,290348.0,0
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,31/03/2015 02:59:21 p.m.,16,1777.0,0
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,31/03/2015 02:59:25 p.m.,233,3461.0,0
131.202.240.150-134.170.19.108-33309-443-6,131.202.240.150,33309,134.170.19.108,443,31/03/2015 02:59:19 p.m.,54,19798.0,0
131.202.240.150-216.58.219.238-51630-443-6,131.202.240.150,51630,216.58.219.238,443,31/03/2015 02:59:56 p.m.,8,63.0,0
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,31/03/2015 02:59:53 p.m.,6,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,31/03/2015 02:59:50 p.m.,14,0.0,0
131.202.240.86-131.202.240.150-49624-40273-17,131.202.240.86,49624,131.202.240.150,40273,31/03/2015 03:01:16 p.m.,46783,32441148.0,0
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,31/03/2015 03:01:21 p.m.,6,820.0,0
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,31/03/2015 03:01:25 p.m.,71,1718.0,0
