Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.150-131.202.244.3-23114-53-17,131.202.240.150,23114,131.202.244.3,53,2015-02-04 08:39:35,1,1,36.0,164.0,0
131.202.240.150-131.202.244.5-5326-53-17,131.202.240.150,5326,131.202.244.5,53,2015-02-04 08:41:07,1,1,33.0,192.0,0
131.202.240.150-131.202.244.3-7374-53-17,131.202.240.150,7374,131.202.244.3,53,2015-02-04 08:41:47,1,1,36.0,164.0,0
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,2015-02-04 08:40:33,2,0,382.0,0.0,0
131.202.240.150-173.194.123.37-57590-443-6,131.202.240.150,57590,173.194.123.37,443,2015-02-04 08:41:40,1,1,0.0,0.0,0
131.202.240.150-173.194.123.38-57676-443-6,131.202.240.150,57676,173.194.123.38,443,2015-02-04 08:42:02,1,1,0.0,0.0,0
131.202.240.150-131.202.244.3-36752-53-17,131.202.240.150,36752,131.202.244.3,53,2015-02-04 08:39:28,1,1,45.0,189.0,0
131.202.240.150-131.202.244.3-63182-53-17,131.202.240.150,63182,131.202.244.3,53,2015-02-04 08:39:35,1,1,36.0,164.0,0
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,2015-02-04 08:41:44,1,1,0.0,0.0,0
131.202.240.150-131.202.244.5-61698-53-17,131.202.240.150,61698,131.202.244.5,53,2015-02-04 08:41:47,1,1,36.0,164.0,0
131.202.240.150-131.202.244.3-31651-53-17,131.202.240.150,31651,131.202.244.3,53,2015-02-04 08:39:35,1,1,36.0,164.0,0
131.202.240.150-131.202.244.3-60020-53-17,131.202.240.150,60020,131.202.244.3,53,2015-02-04 08:39:46,1,1,41.0,372.0,0
131.202.240.150-131.202.244.3-17079-53-17,131.202.240.150,17079,131.202.244.3,53,2015-02-04 08:39:47,1,1,47.0,394.0,0
131.202.240.150-131.202.244.5-36752-53-17,131.202.240.150,36752,131.202.244.5,53,2015-02-04 08:39:28,1,1,45.0,189.0,0
131.202.240.150-131.202.244.3-5326-53-17,131.202.240.150,5326,131.202.244.3,53,2015-02-04 08:41:07,1,1,33.0,240.0,0
131.202.240.150-131.202.244.3-2822-53-17,131.202.240.150,2822,131.202.244.3,53,2015-02-04 08:39:35,1,1,36.0,164.0,0
131.202.240.150-131.202.6.3-5326-53-17,131.202.240.150,5326,131.202.6.3,53,2015-02-04 08:41:07,1,1,33.0,192.0,0
131.202.240.150-131.202.244.3-43932-53-17,131.202.240.150,43932,131.202.244.3,53,2015-02-04 08:39:35,1,1,36.0,164.0,0
131.202.240.150-131.202.244.5-7374-53-17,131.202.240.150,7374,131.202.244.5,53,2015-02-04 08:41:47,1,1,36.0,164.0,0
203.195.225.12-131.202.240.150-0-0-0,203.195.225.12,0,131.202.240.150,0,2015-02-04 08:39:12,1,1,0.0,0.0,0
131.202.240.150-131.202.6.3-7374-53-17,131.202.240.150,7374,131.202.6.3,53,2015-02-04 08:41:47,1,1,36.0,164.0,0
131.202.240.150-216.58.219.227-40837-443-6,131.202.240.150,40837,216.58.219.227,443,2015-02-04 08:41:07,16,15,1009.0,4682.0,0
131.202.240.150-216.58.219.205-41348-443-6,131.202.240.150,41348,216.58.219.205,443,2015-02-04 08:41:40,1,1,0.0,0.0,0
131.202.240.150-131.202.6.3-36752-53-17,131.202.240.150,36752,131.202.6.3,53,2015-02-04 08:39:28,1,1,45.0,189.0,0
131.202.240.150-131.202.244.3-64822-53-17,131.202.240.150,64822,131.202.244.3,53,2015-02-04 08:39:28,1,1,36.0,164.0,0
131.202.240.150-131.202.240.86-22-1254-6,131.202.240.150,22,131.202.240.86,1254,2015-02-04 08:41:47,1,1,0.0,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-02-04 08:41:51,2,0,0.0,0.0,0
131.202.240.150-216.58.219.205-41348-443-6,131.202.240.150,41348,216.58.219.205,443,2015-02-04 08:39:25,3,3,0.0,0.0,0
131.202.240.150-173.194.123.37-57590-443-6,131.202.240.150,57590,173.194.123.37,443,2015-02-04 08:39:25,3,3,0.0,0.0,0
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,2015-02-04 08:39:29,3,3,0.0,0.0,0
131.202.240.86-131.202.240.150-1254-22-6,131.202.240.86,1254,131.202.240.150,22,2015-02-04 08:39:27,812,1005,6099774.0,38097.0,0
131.202.240.86-131.202.240.150-1254-22-6,131.202.240.86,1254,131.202.240.150,22,2015-02-04 08:41:47,2,0,48.0,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-02-04 08:39:27,6,0,0.0,0.0,0
131.202.240.150-173.194.123.38-57676-443-6,131.202.240.150,57676,173.194.123.38,443,2015-02-04 08:39:46,31,34,3664.0,8021.0,0
