Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.0.6-157.55.56.160-40273-40010-17,10.8.0.6,40273,157.55.56.160,40010,2015-04-14 14:09:36,2,54.0,1
10.8.0.6-65.55.223.21-40273-40029-17,10.8.0.6,40273,65.55.223.21,40029,2015-04-14 14:07:56,2,58.0,1
10.8.0.6-157.55.130.167-40273-40019-17,10.8.0.6,40273,157.55.130.167,40019,2015-04-14 14:07:52,2,54.0,1
10.8.0.6-149.13.32.15-40273-13392-17,10.8.0.6,40273,149.13.32.15,13392,2015-04-14 14:57:00,4,1112.0,1
10.8.0.6-111.221.74.19-40273-40017-17,10.8.0.6,40273,111.221.74.19,40017,2015-04-14 14:25:01,2,52.0,1
10.8.0.6-95.62.106.124-40273-37582-17,10.8.0.6,40273,95.62.106.124,37582,2015-04-14 14:50:58,3,303.0,1
10.8.0.6-213.199.179.168-40273-40013-17,10.8.0.6,40273,213.199.179.168,40013,2015-04-14 14:31:29,2,53.0,1
10.8.0.6-64.4.23.146-40273-40030-17,10.8.0.6,40273,64.4.23.146,40030,2015-04-14 14:24:13,2,53.0,1
10.8.0.6-157.55.130.176-40273-40016-17,10.8.0.6,40273,157.55.130.176,40016,2015-04-14 14:19:44,2,58.0,1
95.121.28.148-10.8.0.6-40273-12089-17,95.121.28.148,40273,10.8.0.6,12089,2015-04-14 14:51:01,2,222.0,1
10.8.0.6-111.221.77.171-40273-40004-17,10.8.0.6,40273,111.221.77.171,40004,2015-04-14 14:56:23,2,202.0,1
10.8.0.6-131.202.6.3-4972-53-17,10.8.0.6,4972,131.202.6.3,53,2015-04-14 14:44:57,2,445.0,1
10.8.0.6-74.125.226.95-50214-443-6,10.8.0.6,50214,74.125.226.95,443,2015-04-14 14:57:32,2,0.0,1
10.8.0.6-111.221.77.159-40273-40005-17,10.8.0.6,40273,111.221.77.159,40005,2015-04-14 13:55:42,2,1318.0,1
10.8.0.6-213.199.179.159-40273-40004-17,10.8.0.6,40273,213.199.179.159,40004,2015-04-14 14:53:04,2,51.0,1
10.8.0.6-157.55.56.159-40273-40005-17,10.8.0.6,40273,157.55.56.159,40005,2015-04-14 14:55:03,2,1318.0,1
10.8.0.6-213.199.179.194-40273-33033-17,10.8.0.6,40273,213.199.179.194,33033,2015-04-14 13:57:11,2,54.0,1
10.8.0.6-65.55.223.22-40273-40017-17,10.8.0.6,40273,65.55.223.22,40017,2015-04-14 14:48:11,2,1329.0,1
10.8.0.6-173.194.123.103-43623-443-6,10.8.0.6,43623,173.194.123.103,443,2015-04-14 14:56:49,2,0.0,1
10.8.0.6-111.221.74.45-40273-40008-17,10.8.0.6,40273,111.221.74.45,40008,2015-04-14 14:42:56,2,55.0,1
10.8.0.6-111.221.77.168-40273-40014-17,10.8.0.6,40273,111.221.77.168,40014,2015-04-14 14:53:04,2,53.0,1
10.8.0.6-157.55.56.156-40273-40031-17,10.8.0.6,40273,157.55.56.156,40031,2015-04-14 14:53:04,2,57.0,1
10.8.0.6-111.221.77.143-40273-40026-17,10.8.0.6,40273,111.221.77.143,40026,2015-04-14 14:19:02,2,54.0,1
10.8.0.6-111.221.77.165-40273-40028-17,10.8.0.6,40273,111.221.77.165,40028,2015-04-14 14:19:02,2,53.0,1
