Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-15 10:19:24,9,450.0,0
131.202.240.87-77.72.169.135-43302-11113-17,131.202.240.87,43302,77.72.169.135,11113,2015-04-15 10:20:35,4,211.0,0
131.202.240.87-224.0.0.252-50741-5355-17,131.202.240.87,50741,224.0.0.252,5355,2015-04-15 10:20:19,2,44.0,0
131.202.240.87-131.202.244.3-10558-53-17,131.202.240.87,10558,131.202.244.3,53,2015-04-15 10:17:38,2,544.0,0
131.202.240.87-224.0.0.252-56503-5355-17,131.202.240.87,56503,224.0.0.252,5355,2015-04-15 10:14:30,2,44.0,0
131.202.240.87-224.0.0.252-59764-5355-17,131.202.240.87,59764,224.0.0.252,5355,2015-04-15 10:20:19,2,44.0,0
131.202.240.87-224.0.0.252-60267-5355-17,131.202.240.87,60267,224.0.0.252,5355,2015-04-15 10:20:26,2,44.0,0
131.202.240.87-224.0.0.252-62706-5355-17,131.202.240.87,62706,224.0.0.252,5355,2015-04-15 10:14:30,2,44.0,0
131.202.240.87-224.0.0.252-50813-5355-17,131.202.240.87,50813,224.0.0.252,5355,2015-04-15 10:19:24,2,44.0,0
131.202.240.87-224.0.0.252-54993-5355-17,131.202.240.87,54993,224.0.0.252,5355,2015-04-15 10:17:55,2,44.0,0
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,2015-04-15 10:18:34,9,24.0,0
131.202.240.87-64.12.104.85-1254-443-6,131.202.240.87,1254,64.12.104.85,443,2015-04-15 10:20:33,8,782.0,0
131.202.240.87-224.0.0.252-57827-5355-17,131.202.240.87,57827,224.0.0.252,5355,2015-04-15 10:20:26,2,44.0,0
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,2015-04-15 10:18:34,9,24.0,0
131.202.240.87-224.0.0.252-61682-5355-17,131.202.240.87,61682,224.0.0.252,5355,2015-04-15 10:17:55,2,44.0,0
131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,2015-04-15 10:18:53,4,148.0,0
131.202.240.87-224.0.0.252-60533-5355-17,131.202.240.87,60533,224.0.0.252,5355,2015-04-15 10:17:11,2,44.0,0
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,2015-04-15 10:20:33,6,543.0,0
131.202.240.87-224.0.0.252-62766-5355-17,131.202.240.87,62766,224.0.0.252,5355,2015-04-15 10:18:15,2,44.0,0
131.202.240.87-224.0.0.252-63473-5355-17,131.202.240.87,63473,224.0.0.252,5355,2015-04-15 10:19:24,2,44.0,0
131.202.240.87-224.0.0.252-65508-5355-17,131.202.240.87,65508,224.0.0.252,5355,2015-04-15 10:17:11,2,44.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-15 10:19:03,6,0.0,0
131.202.240.87-224.0.0.252-50028-5355-17,131.202.240.87,50028,224.0.0.252,5355,2015-04-15 10:18:15,2,44.0,0
131.202.240.87-213.154.229.24-10559-123-17,131.202.240.87,10559,213.154.229.24,123,2015-04-15 10:17:39,2,96.0,0
131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,2015-04-15 10:14:23,5,222.0,0
131.202.240.87-64.12.104.85-1254-443-6,131.202.240.87,1254,64.12.104.85,443,2015-04-15 10:14:23,24,2325.0,0
131.202.240.87-64.12.104.73-13389-443-6,131.202.240.87,13389,64.12.104.73,443,2015-04-15 10:14:27,4,148.0,0
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,2015-04-15 10:14:27,26,2533.0,0
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,2015-04-15 10:14:29,9,30.0,0
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,2015-04-15 10:14:29,9,30.0,0
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,2015-04-15 10:14:34,8,24.0,0
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,2015-04-15 10:14:34,8,24.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-15 10:14:33,8,0.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-15 10:14:30,3,150.0,0
131.202.240.87-64.12.104.85-1254-443-6,131.202.240.87,1254,64.12.104.85,443,2015-04-15 10:16:23,20,1543.0,0
131.202.240.87-64.12.104.73-13389-443-6,131.202.240.87,13389,64.12.104.73,443,2015-04-15 10:16:27,5,222.0,0
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,2015-04-15 10:16:27,19,1628.0,0
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,2015-04-15 10:16:29,8,24.0,0
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,2015-04-15 10:16:29,8,24.0,0
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,2015-04-15 10:16:34,9,30.0,0
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,2015-04-15 10:16:34,9,30.0,0
131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,2015-04-15 10:16:23,5,148.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-15 10:17:03,6,0.0,0
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,2015-04-15 10:17:11,9,450.0,0
131.202.240.87-131.202.6.26-13411-13000-6,131.202.240.87,13411,131.202.6.26,13000,2015-04-15 10:20:19,27,14148.0,0
131.202.240.87-131.202.6.26-13411-13000-6,131.202.240.87,13411,131.202.6.26,13000,2015-04-15 10:20:19,2,0.0,0
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,2015-04-15 10:18:29,8,24.0,0
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,2015-04-15 10:18:29,8,24.0,0
131.202.240.87-64.12.104.85-1254-443-6,131.202.240.87,1254,64.12.104.85,443,2015-04-15 10:18:23,33,2314.0,0
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,2015-04-15 10:18:27,29,2256.0,0
131.202.240.87-77.72.169.135-43302-11113-17,131.202.240.87,43302,77.72.169.135,11113,2015-04-15 10:15:35,4,211.0,0
