Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,22/05/2015 03:26:44 p.m.,2,0.0,1
10.8.8.138-131.202.244.3-34134-53-17,10.8.8.138,34134,131.202.244.3,53,22/05/2015 03:24:48 p.m.,2,70.0,1
10.8.8.138-75.101.155.12-47126-22-6,10.8.8.138,47126,75.101.155.12,22,22/05/2015 03:26:50 p.m.,306,224996.0,1
10.8.8.138-74.125.226.38-39162-443-17,10.8.8.138,39162,74.125.226.38,443,22/05/2015 03:23:10 p.m.,36,26315.0,1
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,22/05/2015 03:25:55 p.m.,14184,11901984.0,1
10.8.8.138-75.101.155.12-49156-22-6,10.8.8.138,49156,75.101.155.12,22,22/05/2015 03:21:35 p.m.,36,3773.0,1
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,22/05/2015 03:26:30 p.m.,2,0.0,1
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,22/05/2015 03:25:26 p.m.,2,0.0,1
10.8.8.138-74.125.226.38-51827-443-6,10.8.8.138,51827,74.125.226.38,443,22/05/2015 03:25:26 p.m.,6,0.0,1
10.8.8.138-131.202.244.3-44604-53-17,10.8.8.138,44604,131.202.244.3,53,22/05/2015 03:23:10 p.m.,2,74.0,1
10.8.8.138-74.125.226.38-51753-443-17,10.8.8.138,51753,74.125.226.38,443,22/05/2015 03:24:28 p.m.,7,4604.0,1
10.8.8.138-131.202.244.3-14232-53-17,10.8.8.138,14232,131.202.244.3,53,22/05/2015 03:21:51 p.m.,2,70.0,1
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,22/05/2015 03:21:27 p.m.,108,43460.0,1
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,22/05/2015 03:21:51 p.m.,37082,30810173.0,1
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,22/05/2015 03:23:43 p.m.,5,53.0,1
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,22/05/2015 03:23:58 p.m.,2,0.0,1
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,22/05/2015 03:21:59 p.m.,6,0.0,1
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,22/05/2015 03:22:11 p.m.,6,0.0,1
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,22/05/2015 03:24:27 p.m.,6,63.0,1
10.8.8.138-74.125.226.38-51827-443-6,10.8.8.138,51827,74.125.226.38,443,22/05/2015 03:23:10 p.m.,26,4812.0,1
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,22/05/2015 03:23:51 p.m.,29816,25171240.0,1
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,22/05/2015 03:24:14 p.m.,6,0.0,1
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,22/05/2015 03:24:28 p.m.,26,5003.0,1
10.8.8.138-75.101.155.12-47126-22-6,10.8.8.138,47126,75.101.155.12,22,22/05/2015 03:24:49 p.m.,9223,7770785.0,1
