Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
10.8.8.138-74.125.226.63-57042-443-6,10.8.8.138,57042,74.125.226.63,443,2015-05-24 13:07:33,1,1,0.0,0.0,1
10.8.8.138-131.202.244.3-51746-53-17,10.8.8.138,51746,131.202.244.3,53,2015-05-24 13:23:35,1,1,33.0,33.0,1
209.148.205.32-10.8.8.138-80-41273-6,209.148.205.32,80,10.8.8.138,41273,2015-05-24 13:07:38,1,1,0.0,0.0,1
209.148.205.32-10.8.8.138-80-41296-6,209.148.205.32,80,10.8.8.138,41296,2015-05-24 13:08:38,1,1,0.0,0.0,1
10.8.8.138-74.125.226.63-44264-443-17,10.8.8.138,44264,74.125.226.63,443,2015-05-24 13:03:33,9,8,6247.0,5423.0,1
54.243.70.179-10.8.8.138-443-42087-6,54.243.70.179,443,10.8.8.138,42087,2015-05-24 13:18:18,1,1,0.0,0.0,1
10.8.8.138-74.125.226.58-42354-443-6,10.8.8.138,42354,74.125.226.58,443,2015-05-24 13:04:20,1,1,0.0,0.0,1
107.22.243.234-10.8.8.138-443-35936-6,107.22.243.234,443,10.8.8.138,35936,2015-05-24 13:10:41,2,0,0.0,0.0,1
54.243.108.61-10.8.8.138-443-51762-6,54.243.108.61,443,10.8.8.138,51762,2015-05-24 13:20:32,1,1,0.0,0.0,1
10.8.8.138-50.16.198.195-443-44471-6,10.8.8.138,443,50.16.198.195,44471,2015-05-24 13:14:45,6,0,0.0,0.0,1
209.148.205.41-10.8.8.138-80-57836-6,209.148.205.41,80,10.8.8.138,57836,2015-05-24 13:08:38,1,1,0.0,0.0,1
10.8.8.138-131.202.244.3-17603-53-17,10.8.8.138,17603,131.202.244.3,53,2015-05-24 13:14:45,1,1,33.0,33.0,1
10.8.8.138-131.202.244.3-22969-53-17,10.8.8.138,22969,131.202.244.3,53,2015-05-24 13:25:29,1,1,37.0,37.0,1
209.148.205.16-10.8.8.138-80-58753-6,209.148.205.16,80,10.8.8.138,58753,2015-05-24 13:07:38,1,1,0.0,0.0,1
209.148.205.33-10.8.8.138-80-54020-6,209.148.205.33,80,10.8.8.138,54020,2015-05-24 13:08:38,1,1,0.0,0.0,1
74.125.226.65-10.8.8.138-443-36057-6,74.125.226.65,443,10.8.8.138,36057,2015-05-24 13:26:06,2,1,0.0,0.0,1
173.223.153.85-10.8.8.138-80-42637-6,173.223.153.85,80,10.8.8.138,42637,2015-05-24 13:08:38,1,1,0.0,0.0,1
10.8.8.138-74.125.226.33-58187-443-6,10.8.8.138,58187,74.125.226.33,443,2015-05-24 13:07:41,1,1,0.0,0.0,1
10.8.8.138-74.125.226.37-53315-443-6,10.8.8.138,53315,74.125.226.37,443,2015-05-24 13:03:38,1,1,0.0,0.0,1
10.8.8.138-50.19.232.176-443-55467-6,10.8.8.138,443,50.19.232.176,55467,2015-05-24 13:16:50,6,0,0.0,0.0,1
209.148.205.16-10.8.8.138-80-58788-6,209.148.205.16,80,10.8.8.138,58788,2015-05-24 13:07:38,1,1,0.0,0.0,1
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,2015-05-24 13:32:53,1,1,0.0,0.0,1
209.148.205.41-10.8.8.138-80-57837-6,209.148.205.41,80,10.8.8.138,57837,2015-05-24 13:03:48,1,1,0.0,0.0,1
10.8.8.138-216.58.221.142-55602-443-17,10.8.8.138,55602,216.58.221.142,443,2015-05-24 13:19:01,8,6,4634.0,4459.0,1
50.16.198.195-10.8.8.138-443-44471-6,50.16.198.195,443,10.8.8.138,44471,2015-05-24 13:14:45,2,0,0.0,0.0,1
10.8.8.138-185.2.220.137-43533-80-6,10.8.8.138,43533,185.2.220.137,80,2015-05-24 13:31:39,12791,24824,16048.0,32449733.0,1
23.21.207.234-10.8.8.138-443-46958-6,23.21.207.234,443,10.8.8.138,46958,2015-05-24 13:29:41,2,0,0.0,0.0,1
10.8.8.138-74.125.226.56-56126-443-17,10.8.8.138,56126,74.125.226.56,443,2015-05-24 13:11:55,5,4,2081.0,1705.0,1
107.22.243.234-10.8.8.138-443-35969-6,107.22.243.234,443,10.8.8.138,35969,2015-05-24 13:21:42,1,1,0.0,0.0,1
209.148.205.16-10.8.8.138-80-58754-6,209.148.205.16,80,10.8.8.138,58754,2015-05-24 13:07:38,1,1,0.0,0.0,1
108.160.163.107-10.8.8.138-443-36320-6,108.160.163.107,443,10.8.8.138,36320,2015-05-24 13:31:49,4,2,554.0,1172.0,1
209.148.205.32-10.8.8.138-80-41267-6,209.148.205.32,80,10.8.8.138,41267,2015-05-24 13:05:18,1,1,0.0,0.0,1
10.8.8.138-131.202.244.3-7349-53-17,10.8.8.138,7349,131.202.244.3,53,2015-05-24 13:19:01,1,1,41.0,41.0,1
23.21.207.234-10.8.8.138-443-46960-6,23.21.207.234,443,10.8.8.138,46960,2015-05-24 13:23:46,1,1,0.0,0.0,1
10.8.8.138-74.125.226.34-59391-443-17,10.8.8.138,59391,74.125.226.34,443,2015-05-24 13:07:30,4,3,3112.0,1501.0,1
209.148.205.16-10.8.8.138-80-58778-6,209.148.205.16,80,10.8.8.138,58778,2015-05-24 13:05:18,1,1,0.0,0.0,1
