Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
10.0.2.15-10.0.2.3-63953-53-17,10.0.2.15,63953,10.0.2.3,53,2015-04-15 10:34:16,3,386.0,0
10.0.2.15-137.116.40.77-49255-443-6,10.0.2.15,49255,137.116.40.77,443,2015-04-15 10:35:38,5,143.0,0
131.202.240.150-10.0.2.15-49459-49937-6,131.202.240.150,49459,10.0.2.15,49937,2015-04-15 10:34:53,11,31.0,0
10.0.2.15-131.202.240.150-49922-21-6,10.0.2.15,49922,131.202.240.150,21,2015-04-15 10:34:56,27,836.0,0
10.0.2.15-137.116.64.35-49942-443-6,10.0.2.15,49942,137.116.64.35,443,2015-04-15 10:35:36,23,10439.0,0
10.0.2.15-134.170.24.236-49242-443-6,10.0.2.15,49242,134.170.24.236,443,2015-04-15 10:34:29,4,1082.0,0
10.0.2.15-213.199.179.168-49232-40016-6,10.0.2.15,49232,213.199.179.168,40016,2015-04-15 10:35:22,4,4.0,0
10.0.2.15-10.0.2.3-54766-53-17,10.0.2.15,54766,10.0.2.3,53,2015-04-15 10:35:36,2,510.0,0
10.0.2.15-65.54.225.168-49934-443-6,10.0.2.15,49934,65.54.225.168,443,2015-04-15 10:34:17,21,5491.0,0
10.0.2.15-64.233.171.188-49190-5228-6,10.0.2.15,49190,64.233.171.188,5228,2015-04-15 10:33:48,6,3.0,0
10.0.2.15-239.255.255.250-1900-1900-17,10.0.2.15,1900,239.255.255.250,1900,2015-04-15 10:34:40,18,8517.0,0
10.0.2.15-131.202.240.150-49927-21-6,10.0.2.15,49927,131.202.240.150,21,2015-04-15 10:35:14,18,677.0,0
10.0.2.15-173.252.107.17-49235-5222-6,10.0.2.15,49235,173.252.107.17,5222,2015-04-15 10:31:22,4,415.0,0
10.0.2.15-157.56.116.200-49238-12350-6,10.0.2.15,49238,157.56.116.200,12350,2015-04-15 10:35:22,4,10.0,0
10.0.2.15-10.0.2.3-62585-53-17,10.0.2.15,62585,10.0.2.3,53,2015-04-15 10:35:37,3,490.0,0
131.202.240.150-10.0.2.15-33061-49931-6,131.202.240.150,33061,10.0.2.15,49931,2015-04-15 10:34:13,19,31.0,0
10.0.2.15-65.54.225.168-49933-443-6,10.0.2.15,49933,65.54.225.168,443,2015-04-15 10:34:16,20,6323.0,0
10.0.2.15-65.54.225.168-49932-443-6,10.0.2.15,49932,65.54.225.168,443,2015-04-15 10:34:16,19,5502.0,0
10.0.2.2-10.0.2.15-0-0-0,10.0.2.2,0,10.0.2.15,0,2015-04-15 10:34:40,18,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-15 10:34:16,4,0.0,0
10.0.2.15-10.0.2.255-138-138-17,10.0.2.15,138,10.0.2.255,138,2015-04-15 10:34:35,5,928.0,0
207.46.7.252-10.0.2.15-80-49926-6,207.46.7.252,80,10.0.2.15,49926,2015-04-15 10:31:41,3,0.0,0
10.0.2.15-131.202.240.150-49928-35403-6,10.0.2.15,49928,131.202.240.150,35403,2015-04-15 10:33:14,15,836.0,0
131.202.240.150-10.0.2.15-35403-49928-6,131.202.240.150,35403,10.0.2.15,49928,2015-04-15 10:33:14,3,0.0,0
10.0.2.15-131.202.240.150-49929-21209-6,10.0.2.15,49929,131.202.240.150,21209,2015-04-15 10:33:14,163924,384717030.0,0
131.202.240.150-10.0.2.15-21209-49929-6,131.202.240.150,21209,10.0.2.15,49929,2015-04-15 10:33:21,9,31.0,0
10.0.2.15-213.199.179.168-49232-40016-6,10.0.2.15,49232,213.199.179.168,40016,2015-04-15 10:31:22,4,4.0,0
10.0.2.15-137.116.40.77-49255-443-6,10.0.2.15,49255,137.116.40.77,443,2015-04-15 10:31:38,7,217.0,0
10.0.2.15-64.233.171.188-49190-5228-6,10.0.2.15,49190,64.233.171.188,5228,2015-04-15 10:31:33,6,3.0,0
10.0.2.15-131.202.240.150-49930-28431-6,10.0.2.15,49930,131.202.240.150,28431,2015-04-15 10:33:49,11597,27460155.0,0
131.202.240.150-10.0.2.15-28431-49930-6,131.202.240.150,28431,10.0.2.15,49930,2015-04-15 10:33:50,25,31.0,0
10.0.2.15-131.202.240.150-49931-33061-6,10.0.2.15,49931,131.202.240.150,33061,2015-04-15 10:34:13,12526,29807847.0,0
10.0.2.15-131.202.240.150-49935-44860-6,10.0.2.15,49935,131.202.240.150,44860,2015-04-15 10:34:26,774,1803735.0,0
131.202.240.150-10.0.2.15-44860-49935-6,131.202.240.150,44860,10.0.2.15,49935,2015-04-15 10:34:26,8,31.0,0
10.0.2.15-134.170.24.236-49242-443-6,10.0.2.15,49242,134.170.24.236,443,2015-04-15 10:31:22,8,2180.0,0
10.0.2.15-10.0.2.255-138-138-17,10.0.2.15,138,10.0.2.255,138,2015-04-15 10:32:35,4,729.0,0
10.0.2.15-131.202.240.150-49936-39837-6,10.0.2.15,49936,131.202.240.150,39837,2015-04-15 10:34:42,44345,104448529.0,0
131.202.240.150-10.0.2.15-39837-49936-6,131.202.240.150,39837,10.0.2.15,49936,2015-04-15 10:34:44,8,31.0,0
10.0.2.15-131.202.240.150-49937-49459-6,10.0.2.15,49937,131.202.240.150,49459,2015-04-15 10:34:51,49480,117014180.0,0
10.0.2.15-131.202.240.150-49938-57211-6,10.0.2.15,49938,131.202.240.150,57211,2015-04-15 10:34:56,19,2807.0,0
131.202.240.150-10.0.2.15-57211-49938-6,131.202.240.150,57211,10.0.2.15,49938,2015-04-15 10:34:56,3,0.0,0
10.0.2.15-131.202.240.150-49939-17205-6,10.0.2.15,49939,131.202.240.150,17205,2015-04-15 10:35:06,1420,1803766.0,0
131.202.240.150-10.0.2.15-17205-49939-6,131.202.240.150,17205,10.0.2.15,49939,2015-04-15 10:35:06,2,0.0,0
10.0.2.15-131.202.240.150-49927-21-6,10.0.2.15,49927,131.202.240.150,21,2015-04-15 10:33:14,113,5058.0,0
10.0.2.15-131.202.240.150-49940-49531-6,10.0.2.15,49940,131.202.240.150,49531,2015-04-15 10:35:14,81657,105368352.0,0
131.202.240.150-10.0.2.15-49531-49940-6,131.202.240.150,49531,10.0.2.15,49940,2015-04-15 10:35:17,2,0.0,0
10.0.2.15-213.199.179.168-49232-40016-6,10.0.2.15,49232,213.199.179.168,40016,2015-04-15 10:33:22,9,21.0,0
10.0.2.15-131.202.240.150-49941-14786-6,10.0.2.15,49941,131.202.240.150,14786,2015-04-15 10:35:25,80658,104087512.0,0
