Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.86-157.55.130.176-1509-40023-6,131.202.240.86,1509,157.55.130.176,40023,31/03/2015 02:33:18 p.m.,9,2575.0,0
216.13.193.90-131.202.240.86-1479-49624-17,216.13.193.90,1479,131.202.240.86,49624,31/03/2015 02:34:28 p.m.,2,44.0,0
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.150,40273,131.202.240.86,49624,31/03/2015 02:32:53 p.m.,493,276849.0,0
131.202.240.86-134.170.19.129-1529-443-6,131.202.240.86,1529,134.170.19.129,443,31/03/2015 02:32:53 p.m.,80,30042.0,0
81.232.166.30-131.202.240.86-13415-49624-17,81.232.166.30,13415,131.202.240.86,49624,31/03/2015 02:33:24 p.m.,2,44.0,0
131.202.240.86-193.149.68.53-1530-443-6,131.202.240.86,1530,193.149.68.53,443,31/03/2015 02:33:47 p.m.,5,180.0,0
5.233.5.5-131.202.240.86-58632-49624-17,5.233.5.5,58632,131.202.240.86,49624,31/03/2015 02:32:57 p.m.,10,225.0,0
109.172.77.3-131.202.240.86-60892-49624-17,109.172.77.3,60892,131.202.240.86,49624,31/03/2015 02:34:41 p.m.,2,44.0,0
182.183.179.241-131.202.240.86-26513-49624-17,182.183.179.241,26513,131.202.240.86,49624,31/03/2015 02:32:50 p.m.,48,1014.0,0
5.233.5.5-131.202.240.86-41868-49624-6,5.233.5.5,41868,131.202.240.86,49624,31/03/2015 02:34:06 p.m.,3,0.0,0
131.202.240.86-131.202.240.2-1039-7725-6,131.202.240.86,1039,131.202.240.2,7725,31/03/2015 02:32:50 p.m.,16,160.0,0
131.202.240.86-131.202.240.150-49624-49876-6,131.202.240.86,49624,131.202.240.150,49876,31/03/2015 02:32:53 p.m.,99,3680.0,0
217.66.158.114-131.202.240.86-26557-49624-17,217.66.158.114,26557,131.202.240.86,49624,31/03/2015 02:34:25 p.m.,2,44.0,0
174.31.176.250-131.202.240.86-52847-49624-6,174.31.176.250,52847,131.202.240.86,49624,31/03/2015 02:33:41 p.m.,2,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,31/03/2015 02:32:55 p.m.,22,0.0,0
94.64.20.7-131.202.240.86-61982-49624-17,94.64.20.7,61982,131.202.240.86,49624,31/03/2015 02:32:57 p.m.,2,44.0,0
131.202.240.86-173.252.107.17-1534-5222-6,131.202.240.86,1534,173.252.107.17,5222,31/03/2015 02:33:18 p.m.,3,415.0,0
174.31.176.250-131.202.240.86-52847-49624-6,174.31.176.250,52847,131.202.240.86,49624,31/03/2015 02:33:29 p.m.,16,288.0,0
131.202.240.86-174.31.176.250-49624-52847-6,131.202.240.86,49624,174.31.176.250,52847,31/03/2015 02:33:41 p.m.,2,0.0,0
131.202.240.86-5.233.5.5-49624-41868-6,131.202.240.86,49624,5.233.5.5,41868,31/03/2015 02:32:50 p.m.,187,2003.0,0
131.202.240.86-5.233.5.5-49624-41868-6,131.202.240.86,49624,5.233.5.5,41868,31/03/2015 02:34:05 p.m.,2,20.0,0
5.233.5.5-131.202.240.86-41868-49624-6,5.233.5.5,41868,131.202.240.86,49624,31/03/2015 02:34:06 p.m.,2,40.0,0
182.183.179.241-131.202.240.86-26578-49624-6,182.183.179.241,26578,131.202.240.86,49624,31/03/2015 02:32:50 p.m.,215,2156.0,0
182.183.179.241-131.202.240.86-26578-49624-6,182.183.179.241,26578,131.202.240.86,49624,31/03/2015 02:34:07 p.m.,3,20.0,0
