Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,VPN
131.202.240.150-131.202.244.3-48528-53-17,131.202.240.150,48528,131.202.244.3,53,2015-01-04 14:36:18,2,413.0,0
131.202.240.150-131.202.244.5-48528-53-17,131.202.240.150,48528,131.202.244.5,53,2015-01-04 14:36:18,2,253.0,0
131.202.240.150-194.68.29.19-40594-4070-6,131.202.240.150,40594,194.68.29.19,4070,2015-01-04 14:37:12,4,61.0,0
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,2015-01-04 14:32:47,4,764.0,0
182.254.219.114-131.202.240.150-0-0-0,182.254.219.114,0,131.202.240.150,0,2015-01-04 14:35:04,2,0.0,0
131.202.240.150-131.202.244.5-28654-53-17,131.202.240.150,28654,131.202.244.5,53,2015-01-04 14:36:18,2,281.0,0
131.202.240.150-131.202.244.5-39571-53-17,131.202.240.150,39571,131.202.244.5,53,2015-01-04 14:28:14,2,424.0,0
131.202.240.150-173.194.123.99-56102-443-6,131.202.240.150,56102,173.194.123.99,443,2015-01-04 14:29:46,2,0.0,0
131.202.240.150-216.58.219.206-33090-443-6,131.202.240.150,33090,216.58.219.206,443,2015-01-04 14:36:18,28,4508.0,0
131.202.240.150-131.202.244.3-39571-53-17,131.202.240.150,39571,131.202.244.3,53,2015-01-04 14:28:14,2,424.0,0
131.202.240.150-131.202.6.3-48528-53-17,131.202.240.150,48528,131.202.6.3,53,2015-01-04 14:36:18,2,253.0,0
184.105.165.135-131.202.240.150-0-0-0,184.105.165.135,0,131.202.240.150,0,2015-01-04 14:35:17,4,0.0,0
213.74.216.98-131.202.240.150-0-0-0,213.74.216.98,0,131.202.240.150,0,2015-01-04 14:32:26,4,0.0,0
131.202.240.150-74.125.22.188-60044-5228-6,131.202.240.150,60044,74.125.22.188,5228,2015-01-04 14:35:35,6,0.0,0
131.202.240.150-131.202.243.255-57621-57621-17,131.202.240.150,57621,131.202.243.255,57621,2015-01-04 14:36:17,2,88.0,0
119.81.4.50-131.202.240.150-0-0-0,119.81.4.50,0,131.202.240.150,0,2015-01-04 14:35:01,4,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-01-04 14:33:42,4,0.0,0
131.202.240.150-131.202.6.3-39571-53-17,131.202.240.150,39571,131.202.6.3,53,2015-01-04 14:28:14,2,360.0,0
131.202.240.150-216.58.217.142-42321-443-6,131.202.240.150,42321,216.58.217.142,443,2015-01-04 14:36:18,51,8630.0,0
131.202.240.150-173.194.123.99-56102-443-6,131.202.240.150,56102,173.194.123.99,443,2015-01-04 14:28:47,6,63.0,0
131.202.240.150-54.192.54.208-56080-80-6,131.202.240.150,56080,54.192.54.208,80,2015-01-04 14:28:14,35,18489.0,0
131.202.240.150-54.192.54.208-56081-80-6,131.202.240.150,56081,54.192.54.208,80,2015-01-04 14:28:14,35,22363.0,0
131.202.240.150-54.192.54.208-56076-80-6,131.202.240.150,56076,54.192.54.208,80,2015-01-04 14:28:14,34,23869.0,0
131.202.240.150-54.192.54.208-56078-80-6,131.202.240.150,56078,54.192.54.208,80,2015-01-04 14:28:14,45,26367.0,0
131.202.240.150-54.192.54.208-56080-80-6,131.202.240.150,56080,54.192.54.208,80,2015-01-04 14:30:15,3,0.0,0
131.202.240.150-54.192.54.208-56081-80-6,131.202.240.150,56081,54.192.54.208,80,2015-01-04 14:30:15,3,0.0,0
131.202.240.150-54.192.54.208-56078-80-6,131.202.240.150,56078,54.192.54.208,80,2015-01-04 14:30:15,3,0.0,0
131.202.240.150-54.192.54.208-56076-80-6,131.202.240.150,56076,54.192.54.208,80,2015-01-04 14:30:15,3,0.0,0
131.202.240.150-54.192.54.208-56077-80-6,131.202.240.150,56077,54.192.54.208,80,2015-01-04 14:28:14,94,78716.0,0
131.202.240.150-54.192.54.208-56079-80-6,131.202.240.150,56079,54.192.54.208,80,2015-01-04 14:28:14,101,101226.0,0
131.202.240.150-131.202.243.255-57621-57621-17,131.202.240.150,57621,131.202.243.255,57621,2015-01-04 14:28:17,4,176.0,0
131.202.240.150-54.192.54.208-56077-80-6,131.202.240.150,56077,54.192.54.208,80,2015-01-04 14:30:16,3,0.0,0
131.202.240.150-54.192.54.208-56079-80-6,131.202.240.150,56079,54.192.54.208,80,2015-01-04 14:30:17,3,0.0,0
131.202.240.150-199.16.156.120-50896-443-6,131.202.240.150,50896,199.16.156.120,443,2015-01-04 14:28:43,6,0.0,0
131.202.240.150-194.68.29.19-40594-4070-6,131.202.240.150,40594,194.68.29.19,4070,2015-01-04 14:28:12,87,87096.0,0
131.202.240.150-74.125.22.188-60044-5228-6,131.202.240.150,60044,74.125.22.188,5228,2015-01-04 14:28:49,6,0.0,0
